Pixel Position,Calibrated Wavelength (nm)
353,453.73572222056646
354,454.10498158081305
355,454.47422647244116
356,454.843456895451
357,455.21267284984253
358,455.58187433561574
359,455.95106135277064
360,456.3202339013071
361,456.6893919812254
362,457.0585355925253
363,457.4276647352068
364,457.79677940927013
365,458.165879614715
366,458.5349653515416
367,458.90403661974983
368,459.27309341933983
369,459.6421357503114
370,460.01116361266475
371,460.38017700639966
372,460.7491759315163
373,461.11816038801464
374,461.4871303758946
375,461.85608589515624
376,462.2250269457995
377,462.59395352782457
378,462.96286564123125
379,463.33176328601957
380,463.70064646218964
381,464.0695151697413
382,464.4383694086747
383,464.80720917898975
384,465.17603448068644
385,465.5448453137648
386,465.9136416782249
387,466.2824235740666
388,466.65119100129004
389,467.01994395989516
390,467.3886824498819
391,467.7574064712503
392,468.12611602400045
393,468.49481110813224
394,468.86349172364567
395,469.23215787054085
396,469.60080954881767
397,469.9694467584761
398,470.3380694995162
399,470.7066777719381
400,471.07527157574157
401,471.44385091092676
402,471.8124157774936
403,472.1809661754421
404,472.54950210477233
405,472.9180235654842
406,473.28653055757775
407,473.65502308105295
408,474.0235011359099
409,474.39196472214843
410,474.76041383976866
411,475.1288484887706
412,475.49726866915415
413,475.8656743809195
414,476.2340656240664
415,476.602442398595
416,476.97080470450527
417,477.3391525417972
418,477.70748591047084
419,478.07580481052617
420,478.44410924196313
421,478.81239920478174
422,479.1806746989821
423,479.5489357245641
424,479.91718228152774
425,480.28541436987314
426,480.65363198960017
427,481.02183514070884
428,481.39002382319916
429,481.7581980370712
430,482.126357782325
431,482.4945030589604
432,482.86263386697743
433,483.2307502063762
434,483.5988520771566
435,483.9669394793186
436,484.3350124128624
437,484.7030708777878
438,485.071114874095
439,485.4391444017837
440,485.8071594608542
441,486.1751600513063
442,486.54314617314014
443,486.9111178263556
444,487.27907501095274
445,487.6470177269316
446,488.0149459742921
447,488.38285975303427
448,488.75075906315806
449,489.1186439046636
450,489.4865142775508
451,489.8543701818197
452,490.22221161747024
453,490.5900385845024
454,490.95785108291636
455,491.32564911271186
456,491.6934326738891
457,492.06120176644805
458,492.42895639038863
459,492.7966965457109
460,493.16442223241484
461,493.5321334505004
462,493.8998301999677
463,494.26751248081666
464,494.63518029304726
465,495.0028336366596
466,495.37047251165353
467,495.7380969180292
468,496.10570685578654
469,496.4733023249255
470,496.84088332544616
471,497.20844985734857
472,497.5760019206325
473,497.94353951529826
474,498.31106264134564
475,498.6785712987746
476,499.04606548758534
477,499.41354520777776
478,499.7810104593518
479,500.1484612423076
480,500.515897556645
481,500.883319402364
482,501.2507267794648
483,501.6181196879472
484,501.98549812781135
485,502.3528620990571
486,502.7202116016846
487,503.0875466356937
488,503.4548672010845
489,503.822173297857
490,504.18946492601117
491,504.55674208554694
492,504.92400477646447
493,505.2912529987636
494,505.65848675244445
495,506.025706037507
496,506.39291085395115
497,506.76010120177705
498,507.1272770809846
499,507.49443849157376
500,507.86158543354463
501,508.22871790689726
502,508.5958359116314
503,508.9629394477474
504,509.3300285152449
505,509.69710311412416
506,510.0641632443851
507,510.43120890602773
508,510.798240099052
509,511.165256823458
510,511.5322590792456
511,511.8992468664149
512,512.2662201849658
513,512.6331790348985
514,513.0001234162128
515,513.3670533289088
516,513.7339687729865
517,514.1008697484458
518,514.4677562552869
519,514.8346282935096
520,515.2014858631139
521,515.5683289640999
522,515.9351575964677
523,516.301971760217
524,516.6687714553481
525,517.0355566818608
526,517.4023274397553
527,517.7690837290313
528,518.1358255496891
529,518.5025529017284
530,518.8692657851495
531,519.2359641999524
532,519.6026481461369
533,519.969317623703
534,520.3359726326507
535,520.7026131729803
536,521.0692392446914
537,521.4358508477842
538,521.8024479822586
539,522.1690306481148
540,522.5355988453526
541,522.9021525739722
542,523.2686918339734
543,523.6352166253562
544,524.0017269481208
545,524.3682228022669
546,524.7347041877949
547,525.1011711047045
548,525.4676235529956
549,525.8340615326686
550,526.2004850437231
551,526.5668940861594
552,526.9332886599773
553,527.2996687651769
554,527.6660344017582
555,528.0323855697211
556,528.3987222690657
557,528.7650444997921
558,529.1313522619
559,529.4976455553897
560,529.863924380261
561,530.230188736514
562,530.5964386241487
563,530.962674043165
564,531.328894993563
565,531.6951014753427
566,532.0612934885041
567,532.4274710330471
568,532.7936341089718
569,533.1597827162782
570,533.5259168549662
571,533.892036525036
572,534.2581417264873
