Pixel Position,Calibrated Wavelength (nm)
733,593.7050672025402
734,594.0469812540853
735,594.3887398965528
736,594.7303431299429
737,595.0717909542556
738,595.4130833694908
739,595.7542203756484
740,596.0952019727285
741,596.4360281607314
742,596.7766989396566
743,597.1172143095043
744,597.4575742702747
745,597.7977788219675
746,598.1378279645828
747,598.4777216981207
748,598.8174600225811
749,599.157042937964
750,599.4964704442693
751,599.8357425414974
752,600.1748592296478
753,600.5138205087209
754,600.8526263787164
755,601.1912768396345
756,601.5297718914751
757,601.8681115342381
758,602.2062957679237
759,602.5443245925319
760,602.8821980080626
761,603.2199160145158
762,603.5574786118915
763,603.8948858001897
764,604.2321375794105
765,604.5692339495538
766,604.9061749106195
767,605.2429604626079
768,605.5795906055188
769,605.9160653393521
770,606.252384664108
771,606.5885485797864
772,606.9245570863874
773,607.2604101839108
774,607.5961078723569
775,607.9316501517254
776,608.2670370220164
777,608.6022684832301
778,608.937344535366
779,609.2722651784247
780,609.607030412406
781,609.9416402373095
782,610.2760946531357
783,610.6103936598844
784,610.9445372575556
785,611.2785254461494
786,611.6123582256657
787,611.9460355961045
788,612.2795575574658
789,612.6129241097497
790,612.946135252956
791,613.2791909870848
792,613.6120913121363
793,613.9448362281103
794,614.2774257350068
795,614.6098598328257
796,614.9421385215671
797,615.2742618012312
798,615.6062296718178
799,615.9380421333269
800,616.2696991857584
801,616.6012008291126
802,616.9325470633892
803,617.2637378885884
804,617.5947733047101
805,617.9256533117543
806,618.2563779097211
807,618.5869470986104
808,618.9173608784221
809,619.2476192491564
810,619.5777222108132
811,619.9076697633926
812,620.2374619068944
813,620.5670986413188
814,620.8965799666657
815,621.2259058829352
816,621.5550763901272
817,621.8840914882417
818,622.2129511772787
819,622.5416554572382
820,622.8702043281203
821,623.1985977899249
822,623.5268358426521
823,623.8549184863017
824,624.1828457208738
825,624.5106175463686
826,624.8382339627858
827,625.1656949701255
828,625.4930005683877
829,625.8201507575725
830,626.1471455376798
831,626.4739849087096
832,626.800668870662
833,627.1271974235368
834,627.4535705673343
835,627.7797883020542
836,628.1058506276966
837,628.4317575442615
838,628.757509051749
839,629.0831051501591
840,629.4085458394916
841,629.7338311197466
842,630.0589609909242
843,630.3839354530244
844,630.708754506047
845,631.033418149992
846,631.3579263848598
847,631.68227921065
848,632.0064766273626
849,632.3305186349979
850,632.6544052335557
851,632.978136423036
852,633.3017122034388
853,633.6251325747642
854,633.9483975370119
855,634.2715070901825
856,634.5944612342753
857,634.9172599692907
858,635.2399032952287
859,635.5623912120891
860,635.8847237198721
861,636.2069008185777
862,636.5289225082057
863,636.8507887887563
864,637.1724996602293
865,637.494055122625
866,637.815455175943
867,638.1366998201838
868,638.4577890553469
869,638.7787228814327
870,639.0995012984409
871,639.4201243063717
872,639.740591905225
873,640.0609040950008
874,640.3810608756991
875,640.7010622473199
876,641.0209082098634
877,641.3405987633291
878,641.6601339077176
879,641.9795136430284
880,642.298737969262
881,642.617806886418
882,642.9367203944964
883,643.2554784934975
884,643.5740811834211
885,643.8925284642671
886,644.2108203360358
887,644.528956798727
888,644.8469378523406
889,645.1647634968767
890,645.4824337323355
891,645.7999485587167
892,646.1173079760204
893,646.4345119842467
894,646.7515605833955
895,647.0684537734667
896,647.3851915544606
897,647.701773926377
898,648.0182008892159
899,648.3344724429772
900,648.6505885876612
901,648.9665493232676
902,649.2823546497966
903,649.5980045672482
904,649.9134990756222
905,650.2288381749187
906,650.5440218651378
907,650.8590501462793
908,651.1739230183434
909,651.4886404813301
910,651.8032025352393
911,652.117609180071
912,652.4318604158252
913,652.745956242502
914,653.0598966601012
915,653.373681668623
916,653.6873112680673
917,654.0007854584342
918,654.3141042397235
919,654.6272676119354
920,654.9402755750697
921,655.2531281291266
922,655.5658252741061
923,655.8783670100081
924,656.1907533368326
925,656.5029842545796
926,656.8150597632491
927,657.1269798628412
928,657.4387445533557
929,657.7503538347928
930,658.0618077071524
931,658.3731061704345
932,658.6842492246393
933,658.9952368697666
934,659.3060691058163
935,659.6167459327885
936,659.9272673506832
937,660.2376333595005
938,660.5478439592403
939,660.8578991499027
940,661.1677989314876
941,661.4775433039949
942,661.7871322674248
943,662.0965658217772
944,662.4058439670522
945,662.7149667032497
946,663.0239340303697
947,663.3327459484123
948,663.6414024573774
949,663.9499035572649
950,664.2582492480749
951,664.5664395298076
952,664.8744744024627
953,665.1823538660403
954,665.4900779205406
955,665.7976465659633
956,666.1050598023085
957,666.4123176295763
958,666.7194200477666
959,667.0263670568793
960,667.3331586569147
961,667.6397948478725
962,667.9462756297529
963,668.2526010025558
964,668.5587709662813
965,668.8647855209292
966,669.1706446664996
967,669.4763484029927
968,669.7818967304081
969,670.0872896487463
970,670.3925271580067
971,670.6976092581899
972,671.0025359492954
973,671.3073072313235
974,671.6119231042742
975,671.9163835681475
976,672.220688622943
977,672.5248382686614
978,672.8288325053021
979,673.1326713328654
980,673.4363547513512
981,673.7398827607594
982,674.0432553610904
983,674.3464725523436
984,674.6495343345196
985,674.952440707618
986,675.2551916716388
987,675.5577872265824
988,675.8602273724483
989,676.1625121092368
990,676.4646414369479
991,676.7666153555815
992,677.0684338651375
993,677.3700969656161
994,677.6716046570173
995,677.972956939341
996,678.2741538125871
997,678.5751952767557
998,678.876081331847
999,679.1768119778607
1000,679.4773872147969
1001,679.7778070426557
1002,680.078071461437
1003,680.3781804711408
1004,680.6781340717672
1005,680.977932263316
1006,681.2775750457874
1007,681.5770624191814
1008,681.8763943834979
1009,682.1755709387369
1010,682.4745920848984
1011,682.7734578219824
1012,683.0721681499888
1013,683.3707230689179
1014,683.6691225787695
1015,683.9673666795436
1016,684.2654553712403
1017,684.5633886538594
1018,684.8611665274011
1019,685.1587889918653
1020,685.456256047252
1021,685.7535676935613
1022,686.0507239307931
1023,686.3477247589474
1024,686.6445701780242
1025,686.9412601880235
1026,687.2377947889454
1027,687.5341739807898
1028,687.8303977635567
1029,688.1264661372461
1030,688.422379101858
1031,688.7181366573925
1032,689.0137388038496
1033,689.309185541229
1034,689.6044768695311
1035,689.8996127887558
1036,690.1945932989029
1037,690.4894183999725
1038,690.7840880919646
1039,691.0786023748792
1040,691.3729612487165
1041,691.6671647134763
1042,691.9612127691585
1043,692.2551054157632
1044,692.5488426532904
1045,692.8424244817403
1046,693.1358509011127
1047,693.4291219114075
1048,693.7222375126248
1049,694.0151977047647
1050,694.3080024878271
1051,694.6006518618121
1052,694.8931458267195
1053,695.1854843825496
1054,695.4776675293022
1055,695.7696952669771
1056,696.0615675955747
1057,696.3532845150949
1058,696.6448460255374
1059,696.9362521269026
1060,697.2275028191902
1061,697.5185981024003
1062,697.8095379765332
1063,698.1003224415883
1064,698.390951497566
1065,698.6814251444664
1066,698.9717433822891
1067,699.2619062110344
1068,699.5519136307023
1069,699.8417656412927
1070,700.1314622428056
1071,700.421003435241
1072,700.710389218599
1073,700.9996195928793
1074,701.2886945580824
1075,701.5776141142079
1076,701.8663782612559
1077,702.1549869992265
1078,702.4434403281196
1079,702.7317382479351
1080,703.0198807586733
1081,703.3078678603339
1082,703.595699552917
1083,703.8833758364228
1084,704.170896710851
1085,704.4582621762017
1086,704.7454722324751
1087,705.0325268796709
1088,705.3194261177891
1089,705.6061699468299
1090,705.8927583667933
1091,706.1791913776792
1092,706.4654689794876
1093,706.7515911722185
1094,707.037557955872
1095,707.3233693304479
1096,707.6090252959464
1097,707.8945258523675
1098,708.179870999711
1099,708.4650607379771
1100,708.7500950671656
1101,709.0349739872768
1102,709.3196974983105
1103,709.6042656002667
1104,709.8886782931452
1105,710.1729355769464
1106,710.4570374516702
1107,710.7409839173165
1108,711.0247749738853
1109,711.3084106213765
1110,711.5918908597903
1111,711.8752156891267
1112,712.1583851093856
1113,712.441399120567
1114,712.7242577226709
1115,713.0069609156974
1116,713.2895086996464
1117,713.5719010745178
1118,713.8541380403118
1119,714.1362195970283
1120,714.4181457446673
1121,714.6999164832289
